start_time,end_time,duration,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,precipitation,temperature,wind_speed,weather,sunshine,season,is_holiday,is_weekend
2023-05-03 08:00:00,2023-05-03 08:00:00,432,22,Skur 11,60.39638423113168,5.324169337618514,221,Sandvikstorget,60.408582102784685,5.322648583141813,0.0,6.5,1.2,2,42,0,False,False
2023-05-03 08:00:00,2023-05-03 08:00:00,618,220,Møllendalsplass,60.379685765470725,5.3519936304809335,2313,Solheimsviken,60.37708169275558,5.335575458852787,0.0,6.5,1.2,2,42,0,False,False
2023-05-03 09:00:00,2023-05-03 10:00:00,852,298,Østre Murallmenningen øvre,60.39397677863768,5.318713236118583,796,Strømgaten,60.38658238047282,5.326041074182427,0.0,8.2,1.8,2,49,0,False,False
2023-05-03 09:00:00,2023-05-03 10:00:00,497,816,Østre Murallmenningen nedre,60.39514386434325,5.320002322335455,138,C. Sundts gate,60.39947506336557,5.308762204430565,0.0,8.2,1.8,2,49,0,False,False
2023-05-03 09:00:00,2023-05-03 09:00:00,705,116,Lysverket,60.38962622255798,5.3298637396027,24,Studentboligene,60.37831673774707,5.350897458652753,0.0,8.2,1.8,2,49,0,False,False
2023-05-03 10:00:00,2023-05-03 10:00:00,332,1891,Rosenbergsgaten,60.38904687509401,5.321882967938819,797,John Lunds plass,60.38824732496974,5.324558211682643,0.0,9.2,5.2,3,26,0,False,False
2023-05-03 11:00:00,2023-05-03 12:00:00,1852,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,3395,Oasen,60.34877037988127,5.288172686196418,0.0,8.2,4.1,3,49,0,False,False
2023-05-03 13:00:00,2023-05-03 13:00:00,267,138,C. Sundts gate,60.39947506336557,5.308762204430565,815,Gågaten,60.395070112977045,5.31879835082907,0.4,9.0,4.3,4,26,0,False,False
2023-05-03 13:00:00,2023-05-03 14:00:00,2291,810,Amalie Skrams vei Sør,60.408096993005785,5.325510899047174,3395,Oasen,60.34877037988127,5.288172686196418,0.4,9.0,4.3,4,26,0,False,False
2023-05-03 13:00:00,2023-05-03 13:00:00,165,799,HF-Bygget,60.387853713374845,5.318712852428234,1047,Welhavens gate 64,60.38445114789948,5.324440726278226,0.4,9.0,4.3,4,26,0,False,False
2023-05-03 13:00:00,2023-05-03 13:00:00,283,2322,Høyteknologisenteret,60.38174958551062,5.331698655041777,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,0.4,9.0,4.3,4,26,0,False,False
2023-05-03 14:00:00,2023-05-03 14:00:00,996,98,Brann Stadion,60.367425453190464,5.3551910634374735,639,Frydenbø Marina,60.384467341026586,5.310007717995973,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 14:00:00,2023-05-03 14:00:00,808,815,Gågaten,60.395070112977045,5.31879835082907,83,Bergen jernbanestasjon,60.390414110522414,5.332650453823391,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 14:00:00,2023-05-03 14:00:00,1099,98,Brann Stadion,60.367425453190464,5.3551910634374735,368,Festplassen,60.391123958982405,5.325713785893413,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 14:00:00,2023-05-03 14:00:00,383,217,Nykirkekaien,60.39705738914522,5.314548482139799,116,Lysverket,60.38962622255798,5.3298637396027,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 14:00:00,2023-05-03 15:00:00,1263,298,Østre Murallmenningen øvre,60.39397677863768,5.318713236118583,3397,Kristianborg bybanestopp,60.35804332673254,5.341291440021422,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 14:00:00,2023-05-03 14:00:00,150,816,Østre Murallmenningen nedre,60.39514386434325,5.320002322335455,814,Nykirken,60.396949224333255,5.313494727727743,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 14:00:00,2023-05-03 14:00:00,730,5,Moxy Hotellet,60.37878279018753,5.3333274872102265,150,Torget,60.39587808663882,5.325283812313046,0.0,11.6,3.9,4,29,0,False,False
2023-05-03 15:00:00,2023-05-03 15:00:00,242,792,Busstasjonen 2 Vest,60.38828383354144,5.332872680372475,1894,Kong Oscars gate,60.393323250707,5.330654155344547,0.0,11.7,4.5,4,59,0,False,False
2023-05-03 16:00:00,2023-05-03 16:00:00,776,2313,Solheimsviken,60.37708169275558,5.335575458852787,815,Gågaten,60.395070112977045,5.31879835082907,0.0,11.5,4.9,3,60,0,False,False
2023-05-03 16:00:00,2023-05-03 16:00:00,772,788,Danmarksplass,60.376082994809856,5.339851409058042,3,Grieghallen,60.38819667374428,5.328564137089416,0.0,11.5,4.9,3,60,0,False,False
2023-05-03 17:00:00,2023-05-03 18:00:00,367,2313,Solheimsviken,60.37708169275558,5.335575458852787,2336,Møllestranden,60.380044402639385,5.350823586678217,0.0,10.8,4.3,3,60,0,False,False
2023-05-03 18:00:00,2023-05-03 19:00:00,2750,116,Lysverket,60.38962622255798,5.3298637396027,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,10.2,6.4,3,60,0,False,False
2023-05-03 19:00:00,2023-05-03 20:00:00,317,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,368,Festplassen,60.391123958982405,5.325713785893413,0.0,8.8,6.0,3,60,0,False,False
2023-05-03 20:00:00,2023-05-03 20:00:00,115,815,Gågaten,60.395070112977045,5.31879835082907,814,Nykirken,60.396949224333255,5.313494727727743,0.0,8.0,5.7,3,60,0,False,False
2023-05-04 05:00:00,2023-05-04 05:00:00,548,49,Studentsenteret UiB,60.38719801795013,5.322980046239536,788,Danmarksplass,60.376082994809856,5.339851409058042,0.0,1.6,0.5,1,0,0,False,False
2023-05-04 05:00:00,2023-05-04 05:00:00,435,1900,Tonningneset,60.37957605699612,5.344655017198988,641,Krohnviken,60.37810721367397,5.331020769519228,0.0,1.6,0.5,1,0,0,False,False
2023-05-04 05:00:00,2023-05-04 05:00:00,359,816,Østre Murallmenningen nedre,60.39514386434325,5.320002322335455,75,Akvariet,60.39987652272946,5.304686307890734,0.0,1.6,0.5,1,0,0,False,False
2023-05-04 06:00:00,2023-05-04 06:00:00,428,800,Magnus Lagabøtes Plass,60.38972226200196,5.314854189834826,2313,Solheimsviken,60.37708169275558,5.335575458852787,0.0,2.5,1.0,1,51,0,False,False
2023-05-04 06:00:00,2023-05-04 06:00:00,256,802,Håkonsgaten,60.39118461048114,5.318026298282803,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,0.0,2.5,1.0,1,51,0,False,False
2023-05-04 06:00:00,2023-05-04 06:00:00,1316,221,Sandvikstorget,60.408582102784685,5.322648583141813,3396,Kronstad bybanestopp,60.37178687508714,5.349552885719248,0.0,2.5,1.0,1,51,0,False,False
2023-05-04 06:00:00,2023-05-04 06:00:00,271,150,Torget,60.39587808663882,5.325283812313046,217,Nykirkekaien,60.39705738914522,5.314548482139799,0.0,2.5,1.0,1,51,0,False,False
2023-05-04 07:00:00,2023-05-04 07:00:00,863,34,Cornerteateret,60.38246949877819,5.32609348920866,217,Nykirkekaien,60.39705738914522,5.314548482139799,0.0,4.1,0.9,1,60,0,False,False
2023-05-04 07:00:00,2023-05-04 08:00:00,1430,3396,Kronstad bybanestopp,60.37178687508714,5.349552885719248,214,Nygårdsporten,60.3839343833222,5.333450454511649,0.0,4.1,0.9,1,60,0,False,False
2023-05-04 07:00:00,2023-05-04 07:00:00,116,5,Moxy Hotellet,60.37878279018753,5.3333274872102265,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,0.0,4.1,0.9,1,60,0,False,False
2023-05-04 07:00:00,2023-05-04 07:00:00,701,34,Cornerteateret,60.38246949877819,5.32609348920866,1043,Comfort Hotel Bergen,60.39622446162616,5.315384703788823,0.0,4.1,0.9,1,60,0,False,False
2023-05-04 09:00:00,2023-05-04 09:00:00,461,220,Møllendalsplass,60.379685765470725,5.3519936304809335,791,Busstasjonen 4 Sør,60.38705878935416,5.335633911730724,0.0,9.7,0.9,1,60,0,False,False
2023-05-04 10:00:00,2023-05-04 10:00:00,305,798,H.M. Pinnsvinet,60.38808210546723,5.320712071347316,83,Bergen jernbanestasjon,60.390414110522414,5.332650453823391,0.0,10.4,2.6,1,60,0,False,False
2023-05-04 10:00:00,2023-05-04 10:00:00,1430,70,Laksevåg senter,60.38963215691683,5.286516470683409,8,Haukeland sykehus,60.373637920628255,5.35659456239955,0.0,10.4,2.6,1,60,0,False,False
2023-05-04 11:00:00,2023-05-04 12:00:00,1995,3395,Oasen,60.34877037988127,5.288172686196418,3396,Kronstad bybanestopp,60.37178687508714,5.349552885719248,0.0,11.6,2.9,1,60,0,False,False
2023-05-04 12:00:00,2023-05-04 12:00:00,356,815,Gågaten,60.395070112977045,5.31879835082907,1891,Rosenbergsgaten,60.38904687509401,5.321882967938819,0.0,11.1,3.4,1,60,0,False,False
2023-05-04 13:00:00,2023-05-04 13:00:00,179,34,Cornerteateret,60.38246949877819,5.32609348920866,640,Damsgårdsveien,60.38151150199543,5.319435364152128,0.0,10.9,3.1,2,60,0,False,False
2023-05-04 13:00:00,2023-05-04 13:00:00,229,34,Cornerteateret,60.38246949877819,5.32609348920866,1046,Ole Vigs gate,60.385922875207626,5.321431717819451,0.0,10.9,3.1,2,60,0,False,False
2023-05-04 13:00:00,2023-05-04 13:00:00,597,2321,Damsgårdsveien 125,60.38422650043981,5.3114871140229525,215,Nonneseterplass,60.38967202352878,5.3336050852019525,0.0,10.9,3.1,2,60,0,False,False
2023-05-04 13:00:00,2023-05-04 13:00:00,666,1899,Camilla Colletts gate,60.37214138801542,5.346568012885058,789,Busstasjonen 1 Nord,60.38890977889046,5.333817119783134,0.0,10.9,3.1,2,60,0,False,False
2023-05-04 13:00:00,2023-05-04 13:00:00,835,814,Nykirken,60.396949224333255,5.313494727727743,819,Thormøhlens gate,60.38316244112318,5.324053067317891,0.0,10.9,3.1,2,60,0,False,False
